year,overall_rank,pre16_sessions,pre16_active_days,pre16_rx_pct,pre16_prs,pre16_open_specific,pre16_gymnastics_skill,pre16_barbell,pre16_mono_engine,pre16_jumping,pre16_short,pre16_medium,pre16_long,pre16_strength
2018,216825.0,0,0,,0,0,0,0,0,0,0,0,0,0
2020,29711.0,0,0,,0,0,0,0,0,0,0,0,0,0
2021,13054.0,48,12,97.9,9,3,10,29,8,4,10,2,3,18
2022,19510.0,165,63,83.6,0,17,12,122,26,13,36,9,11,87
2023,19559.0,106,53,73.6,0,19,7,65,28,13,30,12,12,34
2024,39200.0,77,48,98.7,12,3,24,46,25,7,17,11,3,24
2025,20123.0,51,26,96.1,5,4,12,33,17,5,12,6,3,18
2026,24387.0,26,17,96.2,4,0,8,17,10,1,4,3,2,10
