date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
09/20/2021,"Clean Shrug Pull","5 x 575-80-85-90-90% of 1RM Clean*Only go up in weight each set if the set before was perfect. Hips should not be shooting up and it should be looking like you are about to clean it.",235,"235","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":215},{""success"":true,""load"":220},{""success"":true,""load"":235},{""success"":true,""load"":235}]","",RX,
09/21/2021,"Clean Complex","5 Sets:2 Pause Cleans* + 1 Clean (full cleans!)Rest 1:30-2:00 between setsSets 1-3: 70%Sets 4-5: 75%*You will pause for 2 seconds just below the knee, then continue driving through to finish your clean. These are not TnG. Stop and reset between each rep.",185,"185","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185}]","Brutal",RX,
09/21/2021,"Snatch Complex","5 Sets:3 Snatch Shrug Pulls + 2 Snatches (70-75%)Rest 2:00 between sets*No TnG. Reset between lifts. These are similar to the clean shrug pulls yesterday in that you should not be bending your elbows. Focus on extending through the bar. Use the feeling of full extension on your two snatches before pulling yourself under the bar.",135,"135","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":135}]","",RX,
09/21/2021,"Warmup","1:00 Straight Leg Rows1:00 PVC Pass Throughs1:00 PVC Cuban Press1:00 Cossack Squats1:00 PNF Internal Rotation Stretch/arm2 Rounds:30sec Dead Hang on Pullup Bar (hands touching)30sec OHS Squat Hold with empty barBarbell Warmup (empty bar)2 Rounds:5 High Hang Shrug Pulls + 5 High Hang High Pulls + 5 High Hang Muscle Snatch + 5 OHS",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
09/22/2021,"Rows","Pendlay Rows4 x 5 *start moderate and get heavy by last setthen, 100 Band Pull Aparts (light band)",170,"170","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":165},{""success"":true,""load"":170}]","",RX,
09/22/2021,"Front Rack Hold","Accumulate 2:00 with 85% of 1RM Front Squat 3:00 Cap*break up your sets as needed",180,"3:00","","","[{""secs"":0,""mins"":3}]","265 ow",RX,
09/22/2021,"Bench Press","4 x 8 (4 count negative)60-70% of 1RMRest as needed between sets",180,"180","Load","","[{""success"":true,""load"":180},{""success"":true,""load"":170},{""success"":true,""load"":170},{""success"":false,""load"":170}]","7/8 reps last set",RX,
09/22/2021,"Strict Ring Dips","4 Sets:Max Effort Reps*60sec Rest between sets*Leave 1-2 reps in the tank on first 3 sets. Then go to failure on set 4",10,"10","Reps","","[{""reps"":10},{""reps"":9},{""reps"":7},{""reps"":4}]","Woof",RX,
09/22/2021,"Deficit Pushups","5:00 AMRAP on 25# platesPick an unbroken rep scheme between 2-6 reps**ie if you pick 6, you can only do sets of 6",68,"68","Reps","","[{""reps"":68}]","",RX,
09/24/2021,"Speed Reverse Lunge","5 Sets:3 Speed Reverse Lunges/leg (30% of 1RM Back Squat)*Rest 10sec4 Alternating Lunge Jumps For Max Height***Do all 3 reps with one leg before switching legs. Control down and explode up.**Touch n go the alternating lunges jumps (just 2 each leg)",95,"95","Load","","[{""success"":true,""load"":95}]","",RX,
