date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
12/08/2020,"30 Muscle-Ups","30 Muscle-Ups",357,"5:57","","","[{""mins"":5,""secs"":57}]","",RX,PR
02/25/2021,"Bar Muscle-Ups: Max Reps","Bar Muscle-Ups: Max Reps",15,"15","Reps","","[{""reps"":15}]","",RX,PR
02/25/2021,"Double-Unders: Max Reps","Double-Unders: Max Reps",150,"150","Reps","","[{""reps"":150}]","",RX,PR
02/25/2021,"Handstand Push-ups (Strict): Max Reps","Handstand Push-ups (Strict): Max Reps",8,"8","Reps","","[{""reps"":8}]","",RX,PR
02/25/2021,"Muscle-Ups: Max Reps","Muscle-Ups: Max Reps",12,"12","Reps","","[{""reps"":12}]","",RX,PR
02/25/2021,"Row 2000m","Row 2000m",396,"6:36","","","[{""mins"":6,""secs"":36}]","",RX,PR
02/25/2021,"Run 5k","Run 5k",1307,"21:47","","","[{""mins"":21,""secs"":47}]","",RX,PR
03/01/2021,"Snatch Deadlift + Snatch Pull","3 x 2+2 (100% of 1RM Deadlift)Superset 3 High Box Jumps2:00 Rest Between Sets",90,"90","Load","","[{""load"":90,""success"":true},{""load"":90,""success"":true},{""load"":90,""success"":true}]","",RX,
03/01/2021,"Barbell Warmup","4 Sets:5 Muscle Snatch + 5 OHS (1 sec Pause in Bottom) + 5 Snatch Balance",20,"20","Load","","[{""load"":20,""success"":true},{""load"":20,""success"":true},{""load"":20,""success"":true},{""load"":20,""success"":true}]","",RX,
03/01/2021,"Thruster/LLRC","For Time:21-15-9Thrusters (95/65)3-2-1Legless Rope Climbs",397,"6:37","","","[{""mins"":6,""secs"":37}]","unbroken thrusters",RX,
03/01/2021,"Thruster/LLRC","For Time:21-15-9Thrusters (95/65)3-2-1Legless Rope Climbs",397,"6:37","","","[{""mins"":6,""secs"":37}]","unbroken thrusters",RX,
03/01/2021,"RMU Skill Work","a. Max effort set of RMU, rest 2:00, then perform your max effort set for time.b. 3 Max Effort Sets:3 second Top of Dip Hold + 3 second Bottom of Dip HoldRest 1:30 Between sets*CHECK NOTES",12,"12","Reps","","[{""reps"":12}]","1:30 to do 12 reps after 2 min resttied my max set of RMU",RX,
03/01/2021,"Power Snatch + Light Power Snatches","3x2 Power Snatch (90-93-95% of 2RM TnG)Rest 10 seconds12 Power Snatches (95/65)2:00 Rest Between Sets",76,"76","Load","","[{""load"":72,""success"":true},{""load"":74,""success"":true},{""load"":76,""success"":true}]","these felt REAL good",RX,
03/01/2021,"Back Squat 10x3","Back Squat (80%) #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps #6: 3 reps #7: 3 reps #8: 3 reps #9: 3 reps #10: 3 reps",114,"114","Load","Back Squat","[{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true},{""load"":114,""success"":true}]","",RX,
03/02/2021,"Open 17.1","For time / reps:•10 dumbbell snatches (50/35#)•15 burpee box jump-overs (24/20"")•20 dumbbell snatches•15 burpee box jump-overs•30 dumbbell snatches•15 burpee box jump-overs•40 dumbbell snatches•15 burpee box jump-overs•50 dumbbell snatches•15 burpee box jump-overs",978,"16:18","","","[{""mins"":16,""secs"":18}]","",RX,PR
03/02/2021,"Deadlift 4x1","Deadlift: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep",200,"200","Load","Deadlift","[{""load"":200,""success"":true},{""load"":200,""success"":true},{""load"":200,""success"":true},{""load"":200,""success"":true}]","",RX,
03/02/2021,"Bench Press 4x1","Bench Press: #1: 1 rep #2: 1 rep #3: 1 rep #4: 1 rep",110,"110","Load","Bench Press","[{""load"":110,""success"":true},{""load"":110,""success"":true},{""load"":110,""success"":true},{""load"":110,""success"":true}]","",RX,
03/02/2021,"100yd HSW","For Time:100yd HSW*Must be performed in 25 increments like the Open.(ie down and back 6 times)8:00 CAP",480,"8:00","","","[{""mins"":8,""secs"":0}]","4 down and backs",RX,
03/03/2021,"Clean/TTB AMRAPs","4:00 AMRAP4 Cleans (185/125) + 12 TTBRest 2:004:00 AMRAP3 Cleans (225/145) + 12 TTBRest 2:004:00 AMRAP2 Cleans (255/165) + 12 TTB",3,"3","Rounds + Reps","","[{""reps"":0,""rnds"":3},{""reps"":3,""rnds"":2},{""reps"":0,""rnds"":1}]","",RX,
03/03/2021,"Clean Complex","Clean Pull + Power Clean + Hang Power Clean + Jerk2 (75%)2 (78%)3x2 (80%)",100,"100","Load","","[{""load"":94,""success"":true},{""load"":97,""success"":true},{""load"":100,""success"":true},{""load"":100,""success"":true},{""load"":100,""success"":true}]","",RX,
03/03/2021,"Front Squat 5x3","Front Squat for load: #1: 3 reps @ 80% #2: 3 reps @ 80% #3: 3 reps @ 83% #4: 3 reps @ 83% #5: 3 reps @ 83%",108,"108","Load","Front Squat","[{""load"":104,""success"":true},{""load"":104,""success"":true},{""load"":108,""success"":true},{""load"":108,""success"":true},{""load"":108,""success"":true}]","",RX,
03/03/2021,"Snatch 5x3","Snatch for load: #1: 3 reps @ 75% #2: 3 reps @ 78% #3: 3 reps @ 80% #4: 3 reps @ 80% #5: 3 reps @ 80%",72,"72","Load","Snatch","[{""load"":67,""success"":true},{""load"":70,""success"":true},{""load"":72,""success"":true},{""load"":72,""success"":true},{""load"":72,""success"":true}]","",RX,
03/05/2021,"Clean Pull + Plyos","Clean Pulls + 3 TnG Broad Jumps4x3 (95%)Percentage based on 1RM Clean",114,"114","Load","","[{""load"":114,""success"":true}]","",RX,
03/05/2021,"Triple AMRAP","3 x 3:00 AMRAP5 Shoulder to Overhead (155/105)10 Chest to Bar PullupsRest 2:00 Between AMRAPs",3.005,"3+5","Rounds + Reps","","[{""reps"":5,""rnds"":3},{""reps"":5,""rnds"":2},{""reps"":0,""rnds"":2}]","",RX,
03/05/2021,"Clean Complex","Hang Clean + Clean Below Knee + Clean 1 (75%)1 (78%)3x1 (80%)",96,"96","Load","","[{""load"":90,""success"":true},{""load"":94,""success"":true},{""load"":96,""success"":true},{""load"":96,""success"":true},{""load"":96,""success"":true}]","",RX,
03/05/2021,"Split Jerk 5x3","Split Jerk for load: #1: 3 reps @ 75% #2: 3 reps @ 78% #3: 3 reps @ 80% #4: 3 reps @ 80% #5: 3 reps @ 80%",98,"98","Load","Split Jerk","[{""load"":94,""success"":true},{""load"":96,""success"":true},{""load"":98,""success"":true},{""load"":98,""success"":true},{""load"":98,""success"":true}]","",RX,
03/06/2021,"Deadlifts!","12-9-6Deadlift (275/185)BMURest 5:0012-9-6Deadlift (275/185)24-18-12Wall Balls (30/20)Rest 5:0012-9-6Deadlift (275/185)BMU[30:00 Time Cap-this includes the rest]",369,"6:09","","","[{""mins"":6,""secs"":9},{""mins"":6,""secs"":11},{""mins"":8,""secs"":46}]","capped at 20, 6 bmu left.  DLs unbroken.",RX,
03/08/2021,"Run and Thrusters","4 RFT:400m Run15 Thrusters (115/75#)[13:00 CAP]",795,"13:15","","","[{""mins"":13,""secs"":15}]","capped during the last run.  sabrina kicked my butt.  15, 10-5, 10-5 on thrusters.  lower back and quads blown up.",RX,
03/08/2021,"Back Squat 5x3","Back Squat for load: #1: 3 reps @ 83% #2: 3 reps @ 83% #3: 3 reps @ 83% #4: 3 reps @ 83% #5: 3 reps @ 83%",118,"118","Load","Back Squat","[{""load"":118,""success"":true},{""load"":118,""success"":true},{""load"":118,""success"":true},{""load"":118,""success"":true},{""load"":118,""success"":true}]","",RX,
03/08/2021,"Barbell Warmup","3 Sets:5 High Hang Muscle Snatch + 5 Snatch Balance + 5 Snatch Grip Push Press*You may add a little weight sets 2 and 3",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/08/2021,"Snatch Pull + Vertical Jumps","4x2 (95% of 1RM Snatch)Superset with 3 Max Height Vertical Jumps (Reset between jumps)*Do not TnG",85,"85","Load","","[{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true},{""load"":85,""success"":true}]","",RX,
03/08/2021,"""Warmup""","5:00 EMOM12/8 Cal Row5:00 EMOM10 Bar Facing Burpees5:00 EMOM12/8 Cal Row*No Rest between EMOMS",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/08/2021,"RMU Skill","a. 5-6 Sets:5 Ring Swings + 1-3 RMU1:00 Btw Setsb. 8 Sets or accumulate 2:00 of:Negative RMU (ie start at top of muscle up and lower yourself to a dead hang as slowly as you can.CHECK NOTES",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/08/2021,"Power Snatch + Snatch","2x1 (80%)2x1 (85%)2x1 (90%)*% off 1RM Power Snatch",78,"78","Load","","[{""load"":70,""success"":true},{""load"":70,""success"":true},{""load"":73,""success"":true},{""load"":73,""success"":true},{""load"":78,""success"":true},{""load"":78,""success"":true}]","",RX,
03/09/2021,"Bench Press 5x3","Bench Press for load: #1: 3 reps @ 80% #2: 3 reps @ 80% #3: 3 reps @ 85% #4: 3 reps @ 85% #5: 3 reps @ 85%",100,"100","Load","Bench Press","[{""load"":94,""success"":true},{""load"":94,""success"":true},{""load"":100,""success"":true},{""load"":100,""success"":true},{""load"":100,""success"":true}]","",RX,
03/09/2021,"Warmup","3 Rounds10 Calorie Ski5 Sumo Inchworms + Pushup8 External Rotations off Knee3 Rounds15 Good Mornings with Band15 Band Pull Aparts",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/09/2021,"Sumo Deadlift 5x3","Sumo Deadlift for load: #1: 3 reps @ 80% #2: 3 reps @ 80% #3: 3 reps @ 80% #4: 3 reps @ 80% #5: 3 reps @ 80%",160,"160","Load","Sumo Deadlift","[{""load"":160,""success"":true},{""load"":160,""success"":true},{""load"":160,""success"":true},{""load"":160,""success"":true},{""load"":160,""success"":true}]","",RX,
03/09/2021,"HPC/Bike","27-21-15-9Hang Power Cleans (135/95)Assault Bike*Females bike: 22-16-11-6",556,"9:16","","","[{""mins"":9,""secs"":16}]","",RX,
03/09/2021,"Ski/Rope Climb + Ski/HSPU","30-20-10Calorie Ski5-4-3Rope ClimbsRest 5:0021-15-9Calorie Ski21-15-9HSPU8:00 Cap for each piece",458,"7:38","","","[{""mins"":8,""secs"":0},{""mins"":7,""secs"":38}]","part 2 only",RX,
03/10/2021,"Power Clean & Jerk 5x2","Power Clean & Jerk for load: #1: 2 reps @ 80% #2: 2 reps @ 80% #3: 2 reps @ 85% #4: 2 reps @ 85% #5: 2 reps @ 90%",112,"112","Load","Power Clean & Jerk","[{""load"":102,""success"":true},{""load"":102,""success"":true},{""load"":108,""success"":true},{""load"":108,""success"":true},{""load"":112,""success"":true}]","",RX,
03/10/2021,"A DB and a Pullup Bar","10:00 AMRAP20 Single Arm DB HPC and Jerks (50/35)20 DB Stepups (24/20"")20 Chest to Bar Pullups",600,"10:00","","","[{""mins"":10,""secs"":0}]","3 rounds even, 10 ctb each round",SCALED,
03/10/2021,"3x1k Row","Rest 2:00 Between SetsPerformed at your 2k Row Pace",225,"3:45","","","[{""mins"":3,""secs"":45},{""mins"":3,""secs"":45},{""mins"":10,""secs"":0}]","did 2 rounds at about 145 pace.  2k pace wasnt gonna happen (139)",RX,
03/10/2021,"Warmup","3 Rounds at easy pace10 Cal Bike10 Burpees3 Sets30 second Hip Extension Hold on GHD30 second Hollow Hold on floor3 Sets2 Wall Walks:20 Chip Up Grip Dead Hang on Pullup Bar5yd Monster Walk/Side with hip circle if you have one*Sub 10 side plank leg raises per leg if you dont have hip circle",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/10/2021,"Front Squat 5x3","Front Squat for load: #1: 3 reps @ 83% #2: 3 reps @ 83% #3: 3 reps @ 85% #4: 3 reps @ 85% #5: 3 reps @ 87%",112,"112","Load","Front Squat","[{""load"":105,""success"":true},{""load"":105,""success"":true},{""load"":108,""success"":true},{""load"":112,""success"":true},{""load"":112,""success"":true}]","",RX,PR
03/12/2021,"Clean and Jerk EMOM (Everyone)","5x170-73-73-75-75",94,"94","Load","","[{""load"":87,""success"":true},{""load"":91,""success"":true},{""load"":91,""success"":true},{""load"":94,""success"":true},{""load"":94,""success"":true}]","",RX,
03/12/2021,"21.1","1 Wall Walk10 Double Unders3 Wall Walk30 Double Unders6 Wall Walk60 Double Unders9 Wall Walk90 Double Unders15 Wall Walk150 Double Unders21 Wall Walk210 Double Unders[15:00 Cap]",900,"15:00","","","[{""mins"":15,""secs"":0}]","348124 dubs into round of 150",RX,
03/12/2021,"Snatch EMOM (Everyone)","5x170-73-73-75-75",67,"67","Load","","[{""load"":63,""success"":true},{""load"":67,""success"":true},{""load"":67,""success"":true},{""load"":67,""success"":true},{""load"":67,""success"":true}]","",RX,
03/13/2021,"Bike/DB/RC (Everyone)","50 Cal Assault Bike30 DB Power Snatches (50/35)5 Rope ClimbsRest 5:005 Rope Climbs30 DB Power Snatches50 Cal Assault Bike",361,"6:01","","","[{""mins"":6,""secs"":1},{""mins"":6,""secs"":23}]","",RX,
03/15/2021,"Warmup: Row Intervals (No Redo)","5 x 500m Row1:30 Rest Between SetsStart moderate, end at 2k pace",99,"1:39","","","[{""mins"":1,""secs"":50},{""mins"":1,""secs"":50},{""mins"":1,""secs"":50},{""mins"":1,""secs"":45},{""mins"":1,""secs"":39}]","",RX,
03/15/2021,"21.1 Open Warmup","2 Rounds Easy Pace:1:00 Ski1:00 Jog5 Inch Worms w/ Pushup2 Rounds:10 Burpees50-75 Single Unders15 second Nose to Wall HS Hold3 Rounds1 Wall Walk-working on timing of your steps and speed of your reps30 Double Unders (focused on staying relaxed)",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/15/2021,"Power Cleans/Box Jump Overs (Everyone)","21-18-15-12-9-6-3Power Cleans (95/65)Box Jump Overs (24/20)*If you did the Open again, do 18-15-12-9-6-3",386,"6:26","","","[{""mins"":6,""secs"":26}]","beat sabrinascaled because of redo",SCALED,
03/15/2021,"Snatch Pull + Broad Jumps (Everyone)","3 Sets:3 Snatch Pulls (100% of 1RM Snatch-Do not TnG)Rest 10 seconds 2 Max Effort Broad Jumps (Do not TnG)Rest 2:00",90,"90","Load","","[{""load"":90,""success"":true},{""load"":90,""success"":true},{""load"":90,""success"":true}]","",RX,
03/15/2021,"21.1","1 Wall Walk10 Double Unders3 Wall Walk30 Double Unders6 Wall Walk60 Double Unders9 Wall Walk90 Double Unders15 Wall Walk150 Double Unders21 Wall Walk210 Double Unders[15:00 Cap]",900,"15:00","","","[{""mins"":15,""secs"":0}]","1st attempt: 3482nd attempt: 380 6 wall walks into 21LFG",RX,
03/15/2021,"2 Hang Snatch + 1 Snatch (Everyone)","70% x 173% x 175% x 178% x 180% x 2Rest 1:30 Between Sets",72,"72","Load","","[{""load"":63,""success"":true},{""load"":65,""success"":true},{""load"":67,""success"":true},{""load"":70,""success"":true},{""load"":72,""success"":true},{""load"":72,""success"":true}]","",RX,
03/15/2021,"Back Squat (Everyone)","5 x 385% x 2 Sets87% x 3 SetsEvery 2:00",121,"121","Load","","[{""load"":121,""success"":true},{""load"":121,""success"":true},{""load"":121,""success"":true},{""load"":121,""success"":true},{""load"":121,""success"":true}]","",RX,
03/16/2021,"DL/RMU","2 Sets:9-7-5DeadliftsRMUQuarterfinals: 2 Sets (345/225)Open: 1 Set (315/205)Score is slowest time (if you did 2)",365,"6:05","","","[{""mins"":6,""secs"":5}]","1 set at 345all unbroken",SCALED,
03/16/2021,"DB Bench/Strict Chinup EMOM","8:00 EMOMMin 1) 12 DB Bench Press (heavy)Min 2) 8 Strict Chinups (Add weight if able)",31,"31","Load","","[{""load"":31,""success"":true},{""load"":31,""success"":true},{""load"":31,""success"":true},{""load"":31,""success"":true},{""load"":31,""success"":true},{""load"":31,""success"":true},{""load"":31,""success"":true},{""load"":31,""success"":true}]","70# db, 20# vest",RX,
03/16/2021,"Bike/WB/BMU Intervals","Every 5:00 x 5 Sets:15 Cal Assault Bike30 Wall Balls (20/14)15 TTBQuarterfinals: 5 SetsOpen: 3 SetsScore is slowest round",165,"2:45","","","[{""mins"":2,""secs"":45}]","212, 226, 2453 rds",SCALED,
03/17/2021,"PC&J/Burpees","10 RFT:3 Power Clean and Jerks10 Bar Facing BurpeesQuarterfinals: 20:00 Cap (225/155)Open: 15:00 Cap (205/135)****or 80% of 1RM Power Clean (whichever is lighter)",1200,"20:00","","","[{""mins"":20,""secs"":0}]","7 rounds.  Exposed on this one.  jerks were the major limiter",RX,
03/17/2021,"OH Lunge/BMU Sprint","For Time:100yd Single Arm OH DB Walking Lunge (50/35)20 BMU",480,"8:00","","","[{""mins"":8,""secs"":0}]","lunges sucked especially with the left arm.10-5-5 on the BMU took about 2 mins maybe less.",RX,
03/17/2021,"Power Clean EMOM","Quickly build to 90%,then 3:00 EMOM of 1 Power Clean",112,"112","Load","","[{""load"":112,""success"":true},{""load"":112,""success"":true},{""load"":112,""success"":true}]","",RX,
03/17/2021,"Push Press","Every 1:30 x 5 Sets3 Push PressStart at 70% and build to max set of 3",100,"100","Load","","[{""load"":70,""success"":true},{""load"":80,""success"":true},{""load"":90,""success"":true},{""load"":100,""success"":true},{""load"":90,""success"":true}]","peaked on set 4 lol",RX,
03/18/2021,"Warmup","2 Sets::45 Dead Hang on pullup bar20 Alternating Groiners10 PVC Pass Throughs3 Sets:10 Cal Row (Build)50yd Single Arm Overhead Carry/Arm5 Burpees (Jumping for max height each rep)",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/19/2021,"21.2","For Time:10 DB Snatches (50/35)15 Burpee Box Jump Overs (24/20"")20 DB Snatches 15 Burpee Box Jump Overs 30 DB Snatches 15 Burpee Box Jump Overs 40 DB Snatches 15 Burpee Box Jump Overs 50 DB Snatches15 Burpee Box Jump Overs",974,"16:14","","","[{""mins"":16,""secs"":14}]","4 seconds improved over march 2nd.  disappointed, felt like I gave more effort than  last time but I just died on the burpees...",RX,
03/20/2021,"Arm Blaster (optional extra)","4 Sets:10 Heavy DB Hammer Curls30 Band Curls10 DB Skull Crushers30 Band Tricep Pushdowns",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/20/2021,"Hang and Pull (Friday Open)","12-9-6 Hang Snatch (155/105)4-3-2 Rope ClimbsRest 3:0012-9-6Hang Clean (155/105)Burpee BMU*Weight should be right around 65% of Hang Snatch",570,"9:30","","","[{""mins"":9,""secs"":30},{""mins"":10,""secs"":17}]","snatches felt really hard but the cleans were butter.scaled to my 65% at 57kg",SCALED,
03/22/2021,"Snatch DL","Every 2:00 x 4 Sets:4 Snatch Deadlifts (100% of 1RM Snatch)*Do not TnG.",90,"90","Load","","[{""load"":90,""success"":true},{""load"":90,""success"":true},{""load"":90,""success"":true},{""load"":90,""success"":true}]","",RX,
03/22/2021,"Back Squat","Every 2:00 x 5 Sets3 Reps (80%)",110,"110","Load","","[{""load"":105,""success"":true},{""load"":110,""success"":true},{""load"":110,""success"":true},{""load"":110,""success"":true},{""load"":110,""success"":true}]","",RX,
03/22/2021,"STOH/TTB","21-15-9Shoulder to Overhead (135/95)TTB",302,"5:02","","","[{""mins"":5,""secs"":2}]","",RX,
03/22/2021,"21.2","For Time:10 DB Snatches (50/35)15 Burpee Box Jump Overs (24/20"")20 DB Snatches 15 Burpee Box Jump Overs 30 DB Snatches 15 Burpee Box Jump Overs 40 DB Snatches 15 Burpee Box Jump Overs 50 DB Snatches15 Burpee Box Jump Overs",966,"16:06","","","[{""mins"":16,""secs"":6}]","Beat my time just barely but Im afraid I came up short.  Happy I tried and it is what it is.  I failed and thats okay.  I can live with that - I know I have so much more work to put in to reach my goals.  If these are the ""problems"" I have in my life, Id say I have a pretty damn good life.  Weve got one more workout and this story isnt over.  Lets get this 🍞splits, reps per second:10 - :22, 2.215 - 1:02, 4.1320 - 0:53, 2.6515 - 1:07, 4.4730 - 1:26, 2.8715 - 1:25, 5.6740 - 2:33, 3.8315 - 2:02, 8.1350 - 4:02, 4.8415 - 1:14, 4.93",RX,
03/22/2021,"Snatch Complex","Every 2:00 x 4 Sets:Snatch Pull + Power Snatch + Snatch85%85%90%93%95%(Percentage off Power Snatch)*Do not TnG. Reset between movements.",74,"74","Load","","[{""load"":70,""success"":true},{""load"":70,""success"":true},{""load"":72,""success"":true},{""load"":74,""success"":true},{""load"":74,""success"":true}]","",RX,
03/22/2021,"21.2 Warmup","2 Rounds1:00 Straight Leg Row:30 Hollow Hold:30 Glute Bridge2 Rounds:30 Row8 Single Arm KB DL/Arm (moderate)8 Single Arm KB Swings/Arm12 Alternating Groiners (really open up your hips)1 Round1:00 Dead Hang20 Pass Throughs10 Inch Worms (Inch out+Pushup+Down Dog+Inch back)10 DB Snatches (35/25)5 Burpee Box Jumps*Just find your rhythm on both3 Rounds6 DB Snatch (50/35)3 BBJO*Increase intensity each round",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/22/2021,"Warmup (No 21.2)","4 Unbroken Rounds:20 Front Plank:20 Right Side Plank:20 Front Plank:20 Left Side Plank2 Rounds:15 GHD Hip Extensions with 15 second hold at top of last rep15 Goblet Squats with light KB/DB10 PVC Pass Throughs10 PVC Behind the neck Snatch OHPEmpty Bar Warmup:3 Rounds5 Snatch DL5 Snatch High Pull5 Muscle Snatch5 Slow OHS",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/30/2021,"Skill Practice","10:00 Clock50 Freestanding HS Shoulder Taps10 Backwards Roll to Support on Pullup Bar*Break these up however you want.**If the shoulder taps arent happening, switch to working on just holds",600,"10:00","","","[{""mins"":10,""secs"":0}]","wow I had never done one of those rolls before and I got caught stuck on top like a kabob.  realized the bar needs to end higher on your belly than your hip lol.max 4 shoulder taps at once",RX,
03/30/2021,"DB Mania","3 Rounds:10 DB Step Ups (2x50/35, 24/20"")*2 Rope Climbs-2:00 Rest-2 Rounds100 DB Farmer Carry Walking Lunges (2x50/35)3 Rope Climbs-2:00 Rest-1 Round24 Devils Press (2x50/35)6 Rope Climbs*These are step ups NOT OVERS, so stand all the way up on the box.**Swing your arms to use the weight of the DBs to help you on both the lunges and the step ups.",1368,"22:48","","","[{""mins"":22,""secs"":48}]","4 sets of 6 of the devils press. happy I picked a plan and stuck with it.felt like I got full extension on my legs for the rope climb which is something I wanted to focus on.",RX,
03/30/2021,"Bike/Power Clean","3 Sets:3 Rounds15 Cal Bike3 Power Cleans2:00 Rest between setsSet 1: 225/145Set 2: 245/165Set 3: 265/175*Scale to 70, 80, 85-90%",216,"3:36","","","[{""mins"":3,""secs"":36},{""mins"":5,""secs"":12},{""mins"":8,""secs"":54}]","88, 100, 113k",SCALED,
03/31/2021,"Skill Practice","10:00 Clock10 GHDSU10 Goblet Squats 20-30 Heavy Double Unders or 40-50 Double Unders for speed*Move at a moderate pace. Goal is to get some GHDSU volume in with the focus being on the other pieces this week.",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/31/2021,"Warmup","2 Rounds30 GHD Hip Extensions10 Cossack Squats/Leg1:00 Double KB Front Rack Hold",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
03/31/2021,"Run/CTB/PS","For Time:800m Run30 CTB15 Power Snatches (115/75)800m Run20 CTB10 Power Snatches",934,"15:34","","","[{""mins"":15,""secs"":34}]","9-8-7-6 ctb10-5 snatches12-8 ctb10 snatchesslow run on the runner.",RX,
03/31/2021,"Front Squat","Every 2:00 x 5 Sets:3 Front Squat (80-85%)Build throughout if youre feeling it, but no forcing ugly reps.",0,"0:00","","","[{""mins"":0,""secs"":0}]","104k x 3",RX,
04/02/2021,"OHS/Burpee RMU","0-10:00Find 3RM OHS from the rack10:00-12:00Rest12:00-22:0030 Burpee Ring Muscle Ups for time[10:00 Cap for Burpee RMU]*Scale to Burpee Chest to Bars (you must hang and kip into your CTB, you cant jump into the pullup)**Post 3RM in comments",561,"9:21","","","[{""mins"":9,""secs"":21}]","100k9:21 RMU complete",RX,
04/02/2021,"Warmup","Row 500m 1:00-2:00 Bottom Squat HoldHip Circle: 3 x 10 Steps Right + 5 Squats + 10 Steps Left + 5 Squats3 Sets:5 Sumo Inch Worm + Pushup50 Single Arm Overhead Carry/Arm10 PVC Pass Throughs3 Sets (empty bar):3 Snatch Push Press + 3 Snatch Push Jerk (pause in catch) + 5 Slow OHS6-8 Ring Swings (or Kips on bar if doing CTB)",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
04/02/2021,"DB and Abs","For Time: 50 DB Deadlifts (2x50s/2x35s)*50 TTB50 DB Squats**50 GHDSU*Only one head of each DB has to touch the floor**May have DBs on shoulders however you want",920,"15:20","","","[{""mins"":15,""secs"":20}]","30-20 GHD. shared it with Sabrina she kicked my butt.squats were hard.",RX,
04/03/2021,"Warmup","2 Sets:3 Wall Walks + 20 second Hold at top of rep 3:30 Chin Up Grip Dead Hang3 Sets:5 Single Arm DB OHP/Arm (Slow negative)5 Box Jumps 3 Sets:10 Band Pull Aparts5 Empty Bar OHP while in Split Jerk",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
04/03/2021,"HPSU/PS","5 Rounds:8 HSPU8 Hang Power Snatch (95/65)Immediately into5 Rounds:6 Def. HSPU (4"")*6 Hang Power Snatch (135/95)[15:00 Cap]*If you are doing quarterfinals you need to do the 4"" deficit today. Theyve had it in the past for masters, so no scaling to 2"" today. We need to see where youre at in case they show up next week so we know how to pace them.",900,"15:00","","","[{""mins"":15,""secs"":0}]","capped.  2 rounds done in the 2nd half.first 5 sets of 8 hspu were all unbroken.  pretty big for me.  happy with that.",RX,
04/03/2021,"2011 CFG RC/C&J","5-4-3-2-1Rope ClimbsClean and Jerks**M: 185-205-225-245-265*F: 125-135-145-155-165(You may power these)*Scaling: Should be ending around 85% of Clean and Jerk",913,"15:13","","","[{""mins"":15,""secs"":13}]","hit 265 LFGMax is 275 so I am very happy with this.  Wouldnt have been 3 white lights but this is crossfit, baby 😎",RX,
04/03/2021,"Jerk","8:00 ClockWork up to a heavy (not max) Jerk from the rack*Be braced and ready to go when you grab that bar. Take 2-3 steps back and go. Dont stand there for ten seconds or the bar just starts getting heavier on your shoulders.",115,"115","Load","","[{""load"":115,""success"":true}]","",RX,
04/05/2021,"Warmup","2 Rounds:15 Situps15 Hip Circle Lateral Steps/Side5 Strict PullupsHit Skill work and then get barbell warmup in:2 Rounds:5 Slow Snatch DL + 5 High Hang High Pull + 5 High Hang Muscle Snatch + 10 OHS",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
04/05/2021,"Recover","Take care of any kinks youre feeling.",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
04/05/2021,"Skill Work (WB/RC)","15:00 EMOMMin 1) 15-20 Wall Balls (20/14)Min 2) 12 GHDSUMin 2) 2-3 Rope Climbs",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
04/05/2021,"Snatches","3:00 EMOM1 Snatch (85%)Immediately into3:00 EMOM1 Hang Snatch (85%)",76,"76","Load","","[{""load"":76,""success"":true},{""load"":76,""success"":true},{""load"":76,""success"":true},{""load"":74,""success"":true},{""load"":74,""success"":true},{""load"":74,""success"":true}]","",RX,
04/05/2021,"Row/BBJ","4 Rounds for Time:500m Row15 Burpee Box Jump (30/24)*Note the box height",860,"14:20","","","[{""mins"":14,""secs"":20}]","",RX,
04/05/2021,"Back Squat","Work up quickly to 90%, working on taking some bigger jumps.Hit 1x1 (90%)then,EMOM x 3:001 Back Squat (80%)-SPEED",128,"128","Load","","[{""load"":128,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true},{""load"":115,""success"":true}]","",RX,
